Sample ID,Sample Name,Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,Notes,species,seq_notes
AH202,13,A1,PCR,,,,CRf,Samples do NOT have water or primer added; only cleaned PCR product in plate; total volume = approx. 120 uL in each well,,
AH203,102,B1,PCR,,,,CRf,Renamed to sample name _F in sequence files,,
AH204,4,C1,PCR,,,,CRf,,,
AH205,26,D1,PCR,,,,CRf,,,
AH206,151,E1,PCR,,,,CRf,,,
AH207,163,F1,PCR,,,,CRf,,,
AH208,171,G1,PCR,,,,CRf,,,
EMPTY,NA,H1,PCR,,,,CRf,,,
AH209,14,A2,PCR,,,,CRf,,,
AH210,103,B2,PCR,,,,CRf,,,
AH211,6,C2,PCR,,,,CRf,,,
AH212,27,D2,PCR,,,,CRf,,,
AH213,152,E2,PCR,,,,CRf,,,
AH214,164,F2,PCR,,,,CRf,,,couldn't assemble pairs
AH215,172,G2,PCR,,,,CRf,,,
EMPTY,NA,H2,PCR,,,,CRf,,,
AH216,15,A3,PCR,,,,CRf,,,
AH217,104,B3,PCR,,,,CRf,,,
AH218,7,C3,PCR,,,,CRf,,,
AH219,30,D3,PCR,,,,CRf,,,
AH220,153,E3,PCR,,,,CRf,,,
AH221,166,F3,PCR,,,,CRf,,,
AH222,174,G3,PCR,,,,CRf,,,
EMPTY,NA,H3,PCR,,,,CRf,,,
AH223,16,A4,PCR,,,,CRf,,,
AH224,105,B4,PCR,,,,CRf,,,
AH225,8,C4,PCR,,,,CRf,,,
AH226,31,D4,PCR,,,,CRf,,,
AH227,154,E4,PCR,,,,CRf,,,
AH228,168,F4,PCR,,,,CRf,,,
AH229,175,G4,PCR,,,,CRf,,,
EMPTY,NA,H4,PCR,,,,CRf,,,
AH230,20,A5,PCR,,,,CRf,,,
AH231,106,B5,PCR,,,,CRf,,,
AH232,9,C5,PCR,,,,CRf,,,
AH233,32,D5,PCR,,,,CRf,,,
AH234,155,E5,PCR,,,,CRf,,,
AH235,173,F5,PCR,,,,CRf,,,
AH236,177,G5,PCR,,,,CRf,,,
EMPTY,NA,H5,PCR,,,,CRf,,,
AH237,28,A6,PCR,,,,CRf,,,
AH238,107,B6,PCR,,,,CRf,,,
AH239,12,C6,PCR,,,,CRf,,,
AH240,142,D6,PCR,,,,CRf,,,
AH241,156,E6,PCR,,,,CRf,,,
AH242,176,F6,PCR,,,,CRf,,,
AH243,229,G6,PCR,,,,CRf,Note for AH - POC sample ,,
EMPTY,NA,H6,PCR,,,,CRf,,,
AH244,29,A7,PCR,,,,CRf,,,
AH245,108,B7,PCR,,,,CRf,,,
AH246,17,C7,PCR,,,,CRf,,,
AH247,143,D7,PCR,,,,CRf,,,
AH248,157,E7,PCR,,,,CRf,,,
AH249,178,F7,PCR,,,,CRf,,,
AH250,1,G7,PCR,,,,CRf,,,
EMPTY,NA,H7,PCR,,,,CRf,,,
AH251,97,A8,PCR,,,,CRf,,,
AH252,109,B8,PCR,,,,CRf,,,
AH253,18,C8,PCR,,,,CRf,,,
AH254,144,D8,PCR,,,,CRf,,,
AH255,158,E8,PCR,,,,CRf,,,
AH256,148,F8,PCR,,,,CRf,,,couldn't assemble pairs
AH257,5,G8,PCR,,,,CRf,,,
EMPTY,NA,H8,PCR,,,,CRf,,,
AH258,98,A9,PCR,,,,CRf,,,
AH259,110,B9,PCR,,,,CRf,,,
AH260,19,C9,PCR,,,,CRf,,,
AH261,145,D9,PCR,,,,CRf,,,
AH262,159,E9,PCR,,,,CRf,,,
AH263,150,F9,PCR,,,,CRf,,,
AH264,10,G9,PCR,,,,CRf,,,
EMPTY,NA,H9,PCR,,,,CRf,,,
AH265,99,A10,PCR,,,,CRf,,,
AH266,111,B10,PCR,,,,CRf,,,
AH267,21,C10,PCR,,,,CRf,,,
AH268,146,D10,PCR,,,,CRf,,,
AH269,160,E10,PCR,,,,CRf,,,
AH270,165,F10,PCR,,,,CRf,,,
AH271,11,G10,PCR,,,,CRf,,,
EMPTY,NA,H10,PCR,,,,CRf,,,
AH272,100,A11,PCR,,,,CRf,,,
AH273,2,B11,PCR,,,,CRf,,,
AH274,24,C11,PCR,,,,CRf,,,
AH275,147,D11,PCR,,,,CRf,,,
AH276,161,E11,PCR,,,,CRf,,,
AH277,167,F11,PCR,,,,CRf,,,couldn't assemble pairs
NA,NA,G11,PCR,,,,CRf,"PCR negative, do not sequence",,
EMPTY,NA,H11,PCR,,,,CRf,,,
AH278,101,A12,PCR,,,,CRf,,,
AH279,3,B12,PCR,,,,CRf,,,
AH280,25,C12,PCR,,,,CRf,,,
AH281,149,D12,PCR,,,,CRf,,,
AH282,162,E12,PCR,,,,CRf,,,
AH283,170,F12,PCR,,,,CRf,,,
AH284,Becker24,G12,PCR,,,,CRf,,,
EMPTY,NA,H12,PCR,,,,CRf,,,