Date,Run,Plate,SDR,Temperature,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Notes
20231115,1,1,641,30,1,150,15:57,16:18,0:21,0,21,
20231115,1,1,641,30,2,0,16:20,16:35,0:15,23,38,
20231115,1,2,710,30,1,150,15:57,16:18,0:21,0,21,
20231115,1,2,710,30,2,0,16:20,16:35,0:15,23,38,
20231115,2,3,641,27,1,150,18:05,18:25,0:20,0,20,
20231115,2,3,641,27,2,0,18:27,18:42,0:15,22,37,
20231115,2,4,710,27,1,150,18:05,18:25,0:20,0,20,
20231115,2,4,710,27,2,0,18:27,18:42,0:15,22,37,
20231115,3,5,641,33,1,150,21:08,21:28,0:20,0,20,
20231115,3,5,641,33,2,0,21:30,21:50,0:20,22,42,
20231115,3,6,710,33,1,150,21:08,21:28,0:20,0,20,
20231115,3,6,710,33,2,0,21:30,21:50,0:20,22,42,