Measurement Name :,05_20231115_Plate05__SDR641_27C,,Generated On :,"15/11/2023, 21:51:28",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"15/11/2023, 21:08:59",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"15/11/2023, 21:51:12",,,,,,O2_cal0 [¡],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,Adjustment at ,30, ¡C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.34,45.24,45.16,45.19,45.26,45.2,45.19,45.1,45.41,45.31,45.14,45.1,45.34,45.24,45.23,45.22,45.23,45.39,45.22,45.59,45.25,45.35,45.2,45.07,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
15.11.23 21:09:01,0.03,186.41,118.81,187.78,132.42,109.37,197.5,143.69,155.35,171.39,194.17,197.13,178.09,196.62,111.24,189.76,147.66,200.68,189.79,191.15,187.25,185.35,92.14,188.08,162.31,,33,965,36,30.38,
15.11.23 21:09:16,0.28,169.11,117.4,172.02,127.09,106.03,193.71,134.07,158.59,165.02,193.69,176.07,189.32,197.1,106.92,188.82,129.85,197.33,174.13,200.18,197.2,194.99,99.27,189.71,160.79,,33,965,36,30.43,
15.11.23 21:09:31,0.53,187.82,113.42,185.23,130.98,106.23,192.29,137.39,153.85,163.67,196.8,195.71,182.87,190.42,111.05,187.89,133.98,198.77,183.42,195.64,196.22,207.03,93.67,187.84,151.33,,33,965,36,30.49,
15.11.23 21:09:46,0.78,196.38,116.8,185.7,129.54,107.4,199.17,140.32,153.42,171.16,198.48,183.6,180.13,200.72,111.64,188.59,133.77,195.19,182.72,189.28,203.87,216.9,101.22,185.75,161.44,,33,965,36,30.53,
15.11.23 21:10:01,1.03,196.14,115.61,190.82,128.32,112.93,201.81,148.14,160.33,167.97,204.04,199.27,176.73,200,111.64,200.68,129.03,195.19,187.89,179.08,200.89,196.66,106.91,193.95,165.81,,33,965,36,30.58,
15.11.23 21:10:16,1.28,207.07,115.21,191.99,134.69,109.56,205.19,151.57,162.95,173.68,210.17,189.38,178.99,204.37,116.01,189.76,134.39,197.81,188.37,193.75,200.4,200.49,99.47,197.03,186.04,,33,965,36,30.61,
15.11.23 21:10:31,1.53,208.79,120.82,189.18,137.6,105.25,193.95,146.23,162.29,172.53,202.58,196.42,185.39,207.07,112.03,183.01,132.53,191.17,191.46,174.07,200.4,186.75,103.37,206.88,158.19,,33,965,36,30.65,
15.11.23 21:10:46,1.78,201.69,114.81,196.46,126.48,104.47,200.37,138.22,161.2,160.3,202.83,194.77,181.72,193.51,110.85,194.24,128.42,181.85,195.53,183.69,191.35,201.94,91.37,192.77,151.97,,33,965,36,30.68,
15.11.23 21:11:01,2.03,194.47,118.61,182.24,136.56,105.25,200.13,142.21,158.37,173.68,205.51,193.12,191.65,209.78,109.86,199.48,136.06,193.29,190.27,198.26,192.32,198.81,95.02,191.35,164.06,,33,965,36,30.68,
15.11.23 21:11:16,2.28,197.58,105.75,189.65,132.01,109.56,204.46,140.32,151.07,164.57,202.83,182.91,183.32,201.69,106.92,204.3,133.36,186.49,197.7,188.57,191.11,222.91,106.72,214.23,179.65,,33,965,36,30.72,
15.11.23 21:11:31,2.53,185.94,118.21,185.93,135.93,106.81,201.09,138.85,151.71,161.87,207.95,197.37,199.89,205.35,112.23,197.81,138.77,200.92,187.89,198.74,197.94,197.86,98.11,195.37,162.75,,33,965,36,30.74,
15.11.23 21:11:46,2.78,206.82,105.75,186.62,127.7,89.72,189.48,135.73,151.49,165.02,198.48,181.99,162.51,202.42,98.79,182.54,130.26,187.89,180.38,199.22,197.69,195.71,98.88,184.82,162.75,,33,965,36,30.76,
15.11.23 21:12:01,3.03,186.88,104.97,179.95,124.05,93.12,193,127.3,140.54,166.83,197.76,185.67,192.81,207.07,105.17,144.66,130.88,190,182.48,194.46,208.12,197.14,95.98,198.69,160.35,,33,965,36,30.78,
15.11.23 21:12:16,3.28,188.76,114.81,170.01,125.67,104.47,204.94,138.22,166.91,165.02,198.24,199.74,180.36,201.94,106.34,189.29,126.78,189.53,173.44,186.71,192.81,206.55,98.49,187.84,162.09,,33,965,36,30.79,
15.11.23 21:12:31,3.53,201.94,116.4,187.55,130.57,94.65,200.85,142,151.71,167.06,202.58,194.06,188.85,206.33,108.68,197.09,133.36,193.53,193.37,193.75,188.45,206.79,108.1,193,164.93,,33,965,36,30.82,
15.11.23 21:12:46,3.78,198.55,109.27,187.55,129.75,99.63,195.37,139.27,158.59,174.37,199.44,189.15,184.01,197.1,103.42,197.09,136.89,193.06,182.95,185.54,194.27,201.22,99.66,197.5,155.17,,33,965,36,30.83,
15.11.23 21:13:01,4.03,195.42,90.8,176.08,114.65,95.6,193.95,130.77,172.24,158.74,189.42,211.57,182.41,191.13,101.48,191.88,120.7,180.7,158.54,201.38,187.25,185.82,90.61,182.51,167.35,,33,965,36,30.83,
15.11.23 21:13:16,4.28,196.14,108.68,191.05,126.69,94.65,197.98,132.62,144.72,165.47,205.75,199.51,205.86,203.64,103.03,179.78,130.26,186.02,194.09,137.31,181.51,190.5,90.42,203.01,159.27,,33,965,36,30.86,
15.11.23 21:13:31,4.53,195.42,103.42,186.62,131.18,100.98,199.41,139.48,164.48,167.74,198.96,205.5,180.36,201.21,105.56,188.59,137.52,189.53,205.74,193.28,201.39,185.58,93.67,204.22,139.99,,33,965,36,30.86,
15.11.23 21:13:46,4.78,198.79,101.68,183.16,123.85,80.03,202.05,134.9,155.14,171.61,199.68,196.42,181.5,200,101.1,203.33,124.75,188.12,191.94,194.7,194.02,189.79,113.08,193.95,165.37,,33,965,36,30.89,
15.11.23 21:14:01,5.03,195.66,108.1,179.72,127.09,95.41,200.85,133.66,150.43,167.97,202.34,183.83,179.22,199.76,102.26,199.01,136.68,191.88,187.89,190.92,189.41,194.76,100.24,202.53,142.9,,33,965,36,30.9,
15.11.23 21:14:16,5.28,198.07,99.94,185.47,128.11,86.53,198.93,125.47,157.29,167.51,202.58,197.61,196.34,196.38,96.87,186.02,120.1,194,186.71,195.88,194.51,195.47,95.79,202.05,175.81,,33,965,36,30.9,
15.11.23 21:14:31,5.53,193.51,107.7,196.94,131.18,100.01,205.43,132.21,160.55,170.93,211.4,189.61,178.99,205.6,105.17,195.43,138.56,198.53,197.94,198.26,211.14,208.5,106.52,202.29,161,,33,965,36,30.93,
15.11.23 21:14:46,5.78,195.18,104.39,177.67,116.04,61.1,199.41,127.09,152.13,139.33,198.48,188.45,197.04,203.15,94.21,200.2,127.6,196.86,187.42,161.11,246.73,186.98,103.76,194.65,154.53,,33,965,36,30.93,
15.11.23 21:15:01,6.03,177.56,100.33,198.13,130.98,88.4,199.17,128.93,161.42,165.7,216.88,212.3,194.69,208.3,97.83,169.34,139.82,195.9,200.85,207.92,174.44,175.45,109.09,200.13,152.18,,33,965,36,30.93,
15.11.23 21:15:16,6.28,223.81,72.17,204.83,126.89,94.84,179.3,125.26,166.91,191.73,152.91,194.77,246.6,204.62,107.7,195.19,132.53,216.57,196.01,199.22,195,241.18,109.89,191.82,166.03,,33,965,36,30.96,
15.11.23 21:15:31,6.53,210.52,93.26,174.28,116.63,75.63,183.2,107.38,150.64,150.36,194.64,162.71,165.8,192.56,93.26,170.69,124.54,190,180.85,185.31,197.94,173.17,108.7,181.82,139.57,,33,965,36,30.97,
15.11.23 21:15:46,6.78,211.76,94.59,189.65,135.73,92.56,197.98,116.63,152.99,170.93,205.99,190.78,184.7,200.72,93.83,193.77,131.91,186.72,188.37,182.76,182.47,190.74,95.79,186.45,156.46,,33,965,36,30.97,
15.11.23 21:16:01,7.03,195.42,98.98,195.75,114.05,72,208.34,121.43,136.81,162.99,205.51,210.59,188.39,208.79,98.21,188.82,107.22,200.44,199.88,200.9,201.39,201.46,109.49,157.84,172.01,,33,965,36,31,
15.11.23 21:16:16,7.28,203.15,100.9,181.09,129.95,76.54,199.65,112.87,154.92,189.11,206.24,197.84,187.23,181.96,99.17,196.86,122.72,204.06,183.42,194.46,195.49,213.42,102.39,196.31,154.96,,33,965,36,31,
15.11.23 21:16:31,7.53,157.92,66.25,132.92,117.43,82.81,164.88,103.89,138.67,171.61,228.02,155.95,187.47,165.5,91.93,172.04,114.51,184.16,170.7,175.66,182.23,204.36,121.99,146.42,147.51,,33,965,36,31.01,
15.11.23 21:16:46,7.78,201.21,99.94,193.16,130.36,84.66,204.94,118.03,145.35,171.84,201.61,193.83,184.7,201.69,93.45,206.97,120.5,198.77,190.27,189.98,181.04,212.19,99.66,192.06,157.75,,33,965,36,31.03,
15.11.23 21:17:01,8.03,193.75,92.69,199.55,123.04,78.19,195.84,105.83,150.43,172.53,204.04,191.95,186.77,188.05,93.83,184.86,128.01,207.22,193.13,192.8,185.33,193.1,100.44,191.59,143.94,,33,965,36,31.04,
15.11.23 21:17:16,8.28,207.8,109.67,217.54,142.63,92.75,211.77,125.06,158.81,190.3,212.64,199.27,199.17,222.04,109.27,212.61,141.08,204.54,194.33,208.89,205.36,236.48,113.89,220.94,155.82,,33,965,36,31.05,
15.11.23 21:17:31,8.53,197.58,99.94,189.41,132.21,85.41,199.65,116.04,155.35,175.29,194.4,203.33,205.62,199.76,98.21,183.01,128.21,194.72,184.36,207.92,178.67,198.33,91.18,202.77,155.82,,33,965,36,31.05,
15.11.23 21:17:46,8.78,207.07,94.02,187.55,127.7,80.03,209.56,115.64,152.56,178.54,207.22,206.7,200.84,204.13,99.56,194.72,128.62,207.46,197.94,199.22,209.88,215.9,105.14,189.95,167.57,,33,965,36,31.08,
15.11.23 21:18:01,9.03,198.31,90.24,188.48,120.22,76.54,202.77,101.97,136.19,150.57,190.6,176.98,174.48,169.33,89.86,184.63,109.57,195.43,201.1,193.98,180.33,188.15,113.08,189.01,156.46,,33,965,36,31.1,
15.11.23 21:18:16,9.28,201.45,90.61,191.75,119.02,89.91,195.37,107.97,148.09,166.38,197.76,192.65,185.85,202.18,83.33,200.68,122.92,182.31,181.55,189.28,198.92,198.81,90.61,193.47,137.92,,33,965,36,31.11,
15.11.23 21:18:31,9.53,172.52,89.11,176.08,124.66,39.58,198.46,115.84,143.46,159.19,204.29,202.85,181.5,180.57,86.67,191.17,118.69,184.63,186.95,198.98,203.87,195.95,108.3,198.93,138.54,,33,965,36,31.11,
15.11.23 21:18:46,9.78,200.48,93.83,194.34,124.45,75.63,198.93,141.16,137.63,172.99,217.13,141.07,183.78,205.11,85.93,153.02,103.72,195.19,179.91,160.45,202.63,206.79,93.86,150.48,87.69,,33,965,36,31.13,
15.11.23 21:19:01,10.03,196.62,87.98,190.82,122.03,73.63,203.01,106.61,162.95,166.6,192.74,200.22,190.71,195.9,90.24,184.86,118.29,186.02,189.08,191.15,197.94,215.9,90.23,196.79,138.74,,33,965,36,31.15,
15.11.23 21:19:16,10.28,215.99,76.16,209.19,133.04,81.88,208.1,112.87,143.04,126.9,205.99,180.39,160.55,198.79,79.27,194.48,122.92,206.97,207.96,213.07,215.7,184.19,99.85,199.65,154.53,,33,965,36,31.15,
15.11.23 21:19:31,10.53,190.42,87.23,200.27,127.7,81.14,203.01,111.1,139.91,159.41,219.39,215,186.54,193.03,89.11,158.69,129.03,194.48,178.98,143.62,197.94,192.39,90.99,202.77,147.3,,33,965,36,31.18,
15.11.23 21:19:46,10.78,197.82,88.17,175.86,128.32,74.36,206.64,94.34,148.73,173.22,199.68,196.89,178.09,204.37,86.67,181.62,117.09,199.72,192.17,200.9,198.18,200.49,102.98,197.98,215.24,,33,965,36,31.21,
15.11.23 21:20:01,11.03,201.45,87.42,195.52,140.11,49.6,231.84,121.43,132.49,172.76,198.24,270.62,179.9,173.66,117.81,184.4,128.83,233.27,251.91,195.17,190.14,164.86,110.49,197.98,184.89,,33,965,36,31.22,
15.11.23 21:20:16,11.28,204.62,113.42,195.05,132.21,89.53,218.45,114.65,137.84,149.7,205.26,203.81,196.1,216.49,91.55,204.54,118.29,196.62,198.43,198.74,193.54,153.87,104.16,210.79,145.83,,33,965,36,31.22,
15.11.23 21:20:31,11.53,199.03,84.25,185.93,131.59,68.04,208.59,111.3,148.94,140.62,208.2,233.84,177.86,223.05,93.83,205.27,110.75,169.11,166.61,203.55,179.15,222.66,96.75,152.2,139.78,,33,965,36,31.24,
15.11.23 21:20:46,11.78,196.62,89.11,191.05,121.23,70.37,187.14,101.01,141.58,163.89,195.36,191.25,185.16,228.67,80.19,184.4,109.18,185.32,195.05,196.36,195,189.56,95.79,190.88,133.61,,33,965,36,31.26,
15.11.23 21:21:01,12.03,209.04,75.25,186.39,125.06,95.79,182.97,107.97,149.79,167.97,199.68,184.75,182.41,196.62,88.73,199.48,118.49,163.1,187.89,192.33,178.91,194.52,93.1,196.31,140.19,,33,965,36,31.28,
15.11.23 21:21:16,12.28,203.15,88.92,141.86,123.65,72,217.95,107.19,201.07,165.25,202.58,179.71,206.34,209.53,86.86,195.67,112.13,187.19,187.66,195.88,188.45,191.68,73.23,197.5,138.74,,33,965,36,31.29,
15.11.23 21:21:31,12.53,202.18,87.23,185.23,125.87,75.27,203.74,108.16,144.72,167.74,197.03,200.22,191.41,194.47,82.59,185.56,116.7,182.08,191.46,197.07,199.91,210.46,98.3,207.86,139.36,,33,965,36,31.32,
15.11.23 21:21:46,12.78,174.57,99.94,222.53,120.22,45.67,215.96,114.85,152.56,184.15,220.14,212.05,225.53,235.66,86.11,199.01,136.27,143.39,230.73,186.24,159.7,231.83,139.07,251.73,122.31,,33,965,36,31.33,
15.11.23 21:22:01,13.03,194.7,67.14,187.55,151.36,90.66,198.22,99.86,144.3,179,193.93,208.89,187.93,193.03,74.52,194.24,113.71,244.48,196.98,199.46,164.26,238.3,96.56,185.75,141.23,,33,965,36,31.35,
15.11.23 21:22:16,13.28,206.82,82.59,190.82,122.44,67.5,197.98,106.02,149.58,169.33,207.95,192.65,182.41,201.45,82.77,192.11,118.69,182.31,176.21,198.74,193.05,186.05,91.37,193.95,142.06,,33,965,36,31.38,
15.11.23 21:22:31,13.53,176.64,47.08,152.69,101.39,53.75,161.13,84.25,117.82,154.53,180.31,164.69,164.04,184.76,63.94,155.63,90.18,166.43,164.58,156.3,171.18,172.95,74.52,171.36,118.54,,33,965,36,31.39,
15.11.23 21:22:46,13.78,196.38,80,190.11,129.13,63.04,192.29,101.97,138.67,160.08,200.41,194.77,178.09,200,83.88,185.09,111.74,179.09,192.17,185.08,201.88,200.25,89.66,189.24,135.45,,33,965,36,31.4,
15.11.23 21:23:01,14.03,217.5,78.17,197.18,124.86,55.14,200.13,106.22,147.46,168.19,196.08,189.61,185.62,194.7,84.44,195.67,117.69,194.48,185.53,195.41,205.36,215.65,97.33,203.25,155.39,,33,965,36,31.43,
15.11.23 21:23:16,14.28,206.82,92.5,181.55,132.01,71.09,200.61,118.03,129.64,167.74,210.42,191.25,201.07,201.94,86.49,195.9,117.49,188.36,202.56,196.12,206.11,248.85,101.8,192.77,134.83,,33,965,36,31.43,
15.11.23 21:23:31,14.53,197.58,79.82,186.39,124.86,65.71,203.25,106.22,143.46,159.19,193.93,195.48,202.03,200.48,79.27,196.38,110.16,191.88,190.98,196.83,193.05,201.22,93.67,193.47,139.99,,33,965,36,31.46,
15.11.23 21:23:46,14.78,174.8,69.47,129.03,108.36,57.06,180.67,93.96,153.63,156.3,199.44,174.94,166.02,192.56,72.53,191.88,100.44,187.42,144.53,174.75,184.13,214.41,88.52,189.71,121.71,,33,965,36,31.47,
15.11.23 21:24:01,15.03,192.56,80.92,186.86,123.24,66.07,199.89,106.99,140.12,159.63,201.13,196.89,193.52,200.97,82.4,188.59,108.59,191.17,178.29,202.34,186.53,187.22,84.56,197.98,147.51,,33,965,36,31.49,
15.11.23 21:24:16,15.28,156.16,90.61,209.68,133.24,76,203.98,90.95,168.01,163.44,194.64,207.43,251.62,187.82,80.92,193.53,119.9,202.61,185.53,197.31,190.14,224.94,80.07,188.78,132.79,,33,965,36,31.51,
15.11.23 21:24:31,15.53,236.45,103.61,186.62,114.85,60.04,214.48,93.02,121.19,141.9,162.61,189.15,166.46,208.54,57.26,196.86,107.42,158.69,131.15,165.76,192.32,263.46,33.48,201.57,127.92,,33,965,36,31.51,
15.11.23 21:24:46,15.78,175.26,81.85,226.81,116.04,59.86,217.7,80.76,131.47,172.53,192.5,192.65,193.98,213.99,77.44,184.63,108.4,182.77,229.95,190.68,190.14,177.04,92.9,213.98,128.73,,33,965,36,31.53,
15.11.23 21:25:01,16.03,200.97,79.45,187.78,129.95,77.09,201.57,110.31,144.93,168.42,188.95,198.32,190.02,200,79.64,184.4,105.67,187.42,178.98,220.77,213.16,212.68,95.79,199.65,128.53,,33,965,36,31.54,
15.11.23 21:25:16,16.28,196.62,87.61,170.23,126.89,68.75,198.22,105.05,136.39,164.34,199.68,212.3,195.63,205.35,81.11,213.6,111.54,201.89,191.46,196.6,209.88,212.68,87.38,198.69,112.66,,33,965,36,31.57,
15.11.23 21:25:31,16.53,200.72,76.89,194.34,123.65,67.86,201.57,100.43,138.87,164.12,201.37,188.45,195.86,198.55,84.63,199.72,109.77,195.19,177.59,208.65,196.47,206.06,95.59,196.31,139.78,,33,965,36,31.57,
15.11.23 21:25:46,16.78,197.58,74.34,197.65,134.9,70.37,215.71,108.36,160.33,171.16,233.17,211.81,263.45,219.76,89.48,202.85,133.15,189.06,148.21,215.54,189.41,149.11,92.52,191.59,141.23,,33,965,36,31.58,
15.11.23 21:26:01,17.03,219.26,85.93,185,155.68,61.8,195.13,112.28,146.4,165.02,196.8,196.19,203.94,218.5,81.29,219.56,107.81,214.34,198.67,164.65,215.19,186.28,95.02,200.85,147.09,,33,965,36,31.6,
15.11.23 21:26:16,17.28,187.82,80.19,205.55,130.77,62.69,203.74,103.51,133.31,162.32,208.45,203.57,187.7,194.23,82.03,194.72,108.4,197.57,185.06,196.83,194.75,184.19,90.8,202.29,131.57,,33,965,36,31.61,
15.11.23 21:26:31,17.53,192.08,75.43,186.86,125.87,61.63,199.41,108.75,135.98,153.87,200.41,199.03,190.02,195.9,79.45,193.77,114.11,197.33,180.38,204.76,194.27,215.9,97.72,203.98,132.59,,33,965,36,31.61,
15.11.23 21:26:46,17.78,189.47,70.19,204.59,125.67,69.65,193,119.02,121.99,155.19,201.86,198.08,209.73,200.24,80.19,197.09,106.64,193.77,189.79,188.11,192.81,189.79,90.99,205.43,125.51,,33,965,36,31.63,
15.11.23 21:27:01,18.03,204.37,82.96,203.87,134.07,72.36,213,106.02,138.46,168.19,210.42,207.67,202.98,211.01,82.22,199.96,104.5,195.43,202.32,202.82,195.98,215.16,104.55,204.22,131.16,,33,965,36,31.65,
15.11.23 21:27:16,18.28,201.69,77.25,198.36,132.83,79.3,204.46,107.97,95.29,160.98,195.36,199.74,217.32,204.13,74.7,189.53,86.63,200.2,195.77,226.07,187.49,206.55,94.06,232.61,148.15,,33,965,36,31.65,
15.11.23 21:27:31,18.53,211.26,80.56,189.18,131.18,67.14,200.13,104.67,132.9,163.67,207.71,208.4,207.31,205.84,80.19,200.44,87.94,191.64,187.89,198.5,195.49,202.66,102.98,213.24,136.06,,33,965,36,31.66,
15.11.23 21:27:46,18.78,207.8,73.98,210.9,135.73,60.22,190.41,106.61,123.39,151.23,208.2,191.48,182.41,195.9,74.7,181.85,110.56,194.72,188.13,189.04,192.81,218.14,91.18,215.47,139.78,,33,965,36,31.68,
15.11.23 21:28:01,19.03,195.18,72.89,196.23,122.44,58.81,194.65,101.01,116.83,167.51,198.96,199.51,124.19,202.18,73.98,184.16,112.13,194.48,193.61,203.79,176.08,200.98,83.8,196.55,135.24,,33,965,36,31.69,
15.11.23 21:28:16,19.28,204.86,73.07,192.46,129.54,62.87,190.65,106.99,137.84,154.97,194.17,190.31,190.48,196.38,74.89,199.72,106.44,189.06,183.89,238.14,199.41,213.92,83.8,208.83,130.15,,33,965,36,31.71,
15.11.23 21:28:31,19.53,200.72,62.7,181.32,129.95,68.93,183.43,105.44,134.95,158.52,213.39,217.22,197.28,196.86,77.07,194.95,69.11,187.19,193.37,226.32,194.75,216.65,106.12,186.68,130.75,,33,965,36,31.71,
