Well,colony_id
A1,StandardA
A2,StandardB
A3,StandardC
A4,StandardD
A5,StandardE
A6,StandardF
A7,StandardG
A8,StandardH
A9,StandardI
A10,ACR-R28
A11,ACR-R28
A12,POC-R11
B1,StandardA
B2,StandardB
B3,StandardC
B4,StandardD
B5,StandardE
B6,StandardF
B7,StandardG
B8,StandardH
B9,StandardI
B10,ACR-R28
B11,ACR-R28
B12,POC-R11
C1,POR-R22
C2,POR-R19
C3,ACR-A9
C4,POR-R25
C5,POC-R29
C6,POR-R16
C7,ACR-A7
C8,POR-R11
C9,POR-R14
C10,POR-A16
C11,POC-A15
C12,ACR-A10
D1,POR-R22
D2,POR-R19
D3,ACR-A9
D4,POR-R25
D5,POC-R29
D6,POR-R16
D7,ACR-A7
D8,POR-R11
D9,POR-R14
D10,POR-A16
D11,POC-A15
D12,ACR-A10
E1,ACR-R19
E2,POC-R21
E3,POR-R26
E4,POR-R29
E5,ACR-R16
E6,POR-R18
E7,ACR-R26
E8,ACR-R14
E9,ACR-R13
E10,POC-A14
E11,POC-R19
E12,POC-A17
F1,ACR-R19
F2,POC-R21
F3,POR-R26
F4,POR-R29
F5,ACR-R16
F6,POR-R18
F7,ACR-R26
F8,ACR-R14
F9,ACR-R13
F10,POC-A14
F11,POC-R19
F12,POC-A17
G1,POR-A7
G2,POC-R14
G3,POC-A9
G4,ACR-R18
G5,POC-R16
G6,ACR-A14
G7,POR-R21
G8,ACR-R27
G9,POR-A15
G10,ACR-R23
G11,POR-A6
G12,POC-R27
H1,POR-A7
H2,POC-R14
H3,POC-A9
H4,ACR-R18
H5,POC-R16
H6,ACR-A14
H7,POR-R21
H8,ACR-R27
H9,POR-A15
H10,ACR-R23
H11,POR-A6
H12,POC-R27